Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level
329,Male,35,Los Angeles,Silver,820.9,12,4.3,False,13,Neutral
179,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied
191,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied
117,Male,26,Miami,Silver,700.6,12,3.7,True,48,Unsatisfied
167,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied
388,Female,30,New York,Gold,1200.8,16,4.7,True,24,Satisfied
108,Male,35,Los Angeles,Silver,800.9,12,4.2,False,14,Neutral
211,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied
303,Female,35,Houston,Bronze,450.6,7,3.3,False,21,Neutral
411,Female,36,Houston,Bronze,440.5,8,3.1,False,24,Neutral
413,Male,34,Los Angeles,Silver,780.2,11,4.1,False,17,Neutral
238,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral
254,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied
202,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Neutral
363,Female,36,Houston,Bronze,430.5,8,3.1,False,21,Neutral
161,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied
447,Female,36,Houston,Bronze,470.5,8,3.0,False,27,Neutral
349,Male,28,San Francisco,Gold,1480.1,21,4.9,False,10,Satisfied
351,Female,36,Houston,Bronze,480.5,8,3.1,False,20,Neutral
311,Male,34,Los Angeles,Silver,810.2,11,4.0,False,14,Neutral
415,Male,30,San Francisco,Gold,1460.5,20,4.8,False,14,Satisfied
118,Female,38,Houston,Bronze,450.9,8,3.0,False,25,Neutral
241,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied
125,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied
408,Female,41,Chicago,Bronze,495.25,9,3.6,True,45,Unsatisfied
432,Female,41,Chicago,Bronze,495.25,9,3.6,True,47,Unsatisfied
323,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral
340,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied
446,Male,32,Miami,Silver,660.3,10,3.8,True,42,Unsatisfied
298,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral
233,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied
359,Male,35,Los Angeles,Silver,810.9,12,4.3,False,14,Neutral
429,Female,37,Houston,Bronze,430.8,7,3.4,False,31,Neutral
435,Female,36,Houston,Bronze,440.5,8,3.1,False,28,Neutral
120,Male,34,Los Angeles,Silver,790.2,11,4.0,False,16,Neutral
240,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral
180,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral
217,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied
119,Female,32,New York,Gold,1170.3,14,4.7,True,29,Satisfied
324,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied
205,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied
372,Female,41,Chicago,Bronze,475.25,9,3.6,True,42,Unsatisfied
132,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied
355,Male,30,San Francisco,Gold,1440.5,19,4.6,False,12,Satisfied
249,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied
281,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied
433,Male,28,San Francisco,Gold,1490.1,21,4.9,False,11,Satisfied
406,Female,31,New York,Gold,1160.6,15,4.5,True,33,Satisfied
366,Female,43,Chicago,Bronze,505.75,10,3.3,True,42,Unsatisfied
264,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied
160,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral
